"Date","Time","time_point","second_passed","minute_passed","minute_interval","sensor","temp_C","run"
2023-09-01,18H 3M 56S,1,0,0,0,"Temp1",20.539,1
2023-09-01,18H 3M 56S,1,0,0,0,"Temp2",20.477,1
2023-09-01,18H 3M 56S,1,0,0,0,"Temp3",20.453,1
2023-09-01,18H 4M 0S,2,4,0.0666666666666667,0,"Temp1",20.563,1
2023-09-01,18H 4M 0S,2,4,0.0666666666666667,0,"Temp2",20.5,1
2023-09-01,18H 4M 0S,2,4,0.0666666666666667,0,"Temp3",20.469,1
2023-09-01,18H 4M 10S,3,14,0.233333333333333,0,"Temp1",20.578,1
2023-09-01,18H 4M 10S,3,14,0.233333333333333,0,"Temp2",20.508,1
2023-09-01,18H 4M 10S,3,14,0.233333333333333,0,"Temp3",20.477,1
2023-09-01,18H 4M 20S,4,24,0.4,0,"Temp1",20.594,1
2023-09-01,18H 4M 20S,4,24,0.4,0,"Temp2",20.531,1
2023-09-01,18H 4M 20S,4,24,0.4,0,"Temp3",20.492,1
2023-09-01,18H 4M 30S,5,34,0.566666666666667,0,"Temp1",20.609,1
2023-09-01,18H 4M 30S,5,34,0.566666666666667,0,"Temp2",20.547,1
2023-09-01,18H 4M 30S,5,34,0.566666666666667,0,"Temp3",20.5,1
2023-09-01,18H 4M 40S,6,44,0.733333333333333,0,"Temp1",20.633,1
2023-09-01,18H 4M 40S,6,44,0.733333333333333,0,"Temp2",20.563,1
2023-09-01,18H 4M 40S,6,44,0.733333333333333,0,"Temp3",20.523,1
2023-09-01,18H 4M 50S,7,54,0.9,0,"Temp1",20.656,1
2023-09-01,18H 4M 50S,7,54,0.9,0,"Temp2",20.586,1
2023-09-01,18H 4M 50S,7,54,0.9,0,"Temp3",20.531,1
2023-09-01,18H 5M 0S,8,64,1.06666666666667,1,"Temp1",20.68,1
2023-09-01,18H 5M 0S,8,64,1.06666666666667,1,"Temp2",20.602,1
2023-09-01,18H 5M 0S,8,64,1.06666666666667,1,"Temp3",20.555,1
2023-09-01,18H 5M 10S,9,74,1.23333333333333,1,"Temp1",20.711,1
2023-09-01,18H 5M 10S,9,74,1.23333333333333,1,"Temp2",20.633,1
2023-09-01,18H 5M 10S,9,74,1.23333333333333,1,"Temp3",20.57,1
2023-09-01,18H 5M 20S,10,84,1.4,1,"Temp1",20.727,1
2023-09-01,18H 5M 20S,10,84,1.4,1,"Temp2",20.656,1
2023-09-01,18H 5M 20S,10,84,1.4,1,"Temp3",20.594,1
2023-09-01,18H 5M 30S,11,94,1.56666666666667,1,"Temp1",20.773,1
2023-09-01,18H 5M 30S,11,94,1.56666666666667,1,"Temp2",20.68,1
2023-09-01,18H 5M 30S,11,94,1.56666666666667,1,"Temp3",20.609,1
2023-09-01,18H 5M 40S,12,104,1.73333333333333,1,"Temp1",20.797,1
2023-09-01,18H 5M 40S,12,104,1.73333333333333,1,"Temp2",20.703,1
2023-09-01,18H 5M 40S,12,104,1.73333333333333,1,"Temp3",20.641,1
2023-09-01,18H 5M 50S,13,114,1.9,1,"Temp1",20.82,1
2023-09-01,18H 5M 50S,13,114,1.9,1,"Temp2",20.734,1
2023-09-01,18H 5M 50S,13,114,1.9,1,"Temp3",20.664,1
2023-09-01,18H 6M 0S,14,124,2.06666666666667,2,"Temp1",20.859,1
2023-09-01,18H 6M 0S,14,124,2.06666666666667,2,"Temp2",20.766,1
2023-09-01,18H 6M 0S,14,124,2.06666666666667,2,"Temp3",20.688,1
2023-09-01,18H 6M 10S,15,134,2.23333333333333,2,"Temp1",20.898,1
2023-09-01,18H 6M 10S,15,134,2.23333333333333,2,"Temp2",20.789,1
2023-09-01,18H 6M 10S,15,134,2.23333333333333,2,"Temp3",20.711,1
