Date UTC, Time UTC, Temp1 *C, Temp2 *C, Temp3 *C
2023/7/6, 14:14:46, 21.719, 22.391, 22.391
2023/7/6, 14:14:50, 21.727, 22.406, 22.406
2023/7/6, 14:15:0, 21.742, 22.406, 22.406
2023/7/6, 14:15:10, 21.742, 22.414, 22.422
2023/7/6, 14:15:20, 21.758, 22.430, 22.430
2023/7/6, 14:15:30, 21.758, 22.430, 22.438
2023/7/6, 14:15:40, 21.766, 22.445, 22.445
2023/7/6, 14:15:50, 21.781, 22.461, 22.461
2023/7/6, 14:16:0, 21.789, 22.469, 22.469
2023/7/6, 14:16:10, 21.813, 22.484, 22.477
2023/7/6, 14:16:20, 21.828, 22.500, 22.492
2023/7/6, 14:16:30, 21.836, 22.523, 22.500
2023/7/6, 14:16:40, 21.852, 22.539, 22.516
2023/7/6, 14:16:50, 21.867, 22.570, 22.539
2023/7/6, 14:17:0, 21.891, 22.594, 22.547
2023/7/6, 14:17:10, 21.906, 22.617, 22.570
2023/7/6, 14:17:20, 21.922, 22.648, 22.586
2023/7/6, 14:17:30, 21.945, 22.664, 22.609
2023/7/6, 14:17:40, 21.969, 22.703, 22.641
2023/7/6, 14:17:50, 21.992, 22.727, 22.664
2023/7/6, 14:18:0, 22.016, 22.758, 22.688
2023/7/6, 14:18:10, 22.039, 22.789, 22.719
2023/7/6, 14:18:20, 22.070, 22.836, 22.750
2023/7/6, 14:18:30, 22.094, 22.859, 22.781
2023/7/6, 14:18:40, 22.125, 22.891, 22.813
2023/7/6, 14:18:50, 22.148, 22.914, 22.844
2023/7/6, 14:19:0, 22.180, 22.953, 22.875
2023/7/6, 14:19:10, 22.203, 22.992, 22.906
2023/7/6, 14:19:20, 22.234, 23.016, 22.938
2023/7/6, 14:19:30, 22.258, 23.063, 22.969
2023/7/6, 14:19:40, 22.281, 23.102, 23.008
2023/7/6, 14:19:50, 22.320, 23.125, 23.039
2023/7/6, 14:20:0, 22.344, 23.164, 23.078
2023/7/6, 14:20:10, 22.375, 23.195, 23.102
2023/7/6, 14:20:20, 22.406, 23.227, 23.141
2023/7/6, 14:20:30, 22.430, 23.266, 23.180
2023/7/6, 14:20:40, 22.453, 23.305, 23.219
2023/7/6, 14:20:50, 22.484, 23.336, 23.250
2023/7/6, 14:21:0, 22.516, 23.367, 23.281
2023/7/6, 14:21:10, 22.547, 23.406, 23.320
2023/7/6, 14:21:20, 22.570, 23.453, 23.359
2023/7/6, 14:21:30, 22.609, 23.484, 23.391
2023/7/6, 14:21:40, 22.633, 23.523, 23.430
2023/7/6, 14:21:50, 22.664, 23.555, 23.469
2023/7/6, 14:22:0, 22.695, 23.594, 23.500
2023/7/6, 14:22:10, 22.719, 23.633, 23.539
2023/7/6, 14:22:20, 22.742, 23.664, 23.570
2023/7/6, 14:22:30, 22.781, 23.695, 23.602
2023/7/6, 14:22:40, 22.813, 23.742, 23.648
2023/7/6, 14:22:50, 22.836, 23.773, 23.680
2023/7/6, 14:23:0, 22.867, 23.813, 23.719
2023/7/6, 14:23:10, 22.891, 23.844, 23.750
2023/7/6, 14:23:20, 22.914, 23.883, 23.789
2023/7/6, 14:23:30, 22.945, 23.922, 23.836
2023/7/6, 14:23:40, 22.977, 23.953, 23.867
2023/7/6, 14:23:50, 23.000, 23.984, 23.898
2023/7/6, 14:24:0, 23.031, 24.023, 23.945
2023/7/6, 14:24:10, 23.055, 24.063, 23.969
2023/7/6, 14:24:20, 23.086, 24.102, 24.008
2023/7/6, 14:24:30, 23.117, 24.141, 24.047
2023/7/6, 14:24:40, 23.141, 24.180, 24.086
2023/7/6, 14:24:50, 23.164, 24.211, 24.125
2023/7/6, 14:25:0, 23.195, 24.242, 24.156
2023/7/6, 14:25:10, 23.219, 24.281, 24.203
2023/7/6, 14:25:20, 23.250, 24.313, 24.234
2023/7/6, 14:25:30, 23.281, 24.359, 24.266
2023/7/6, 14:25:40, 23.305, 24.391, 24.305
2023/7/6, 14:25:50, 23.336, 24.430, 24.344
2023/7/6, 14:26:0, 23.367, 24.469, 24.383
2023/7/6, 14:26:10, 23.398, 24.500, 24.414
2023/7/6, 14:26:20, 23.422, 24.539, 24.445
2023/7/6, 14:26:30, 23.453, 24.570, 24.484
2023/7/6, 14:26:40, 23.477, 24.609, 24.523
2023/7/6, 14:26:50, 23.516, 24.648, 24.563
2023/7/6, 14:27:0, 23.539, 24.680, 24.602
2023/7/6, 14:27:10, 23.570, 24.711, 24.633
2023/7/6, 14:27:20, 23.602, 24.750, 24.664
2023/7/6, 14:27:30, 23.617, 24.789, 24.703
2023/7/6, 14:27:40, 23.641, 24.828, 24.734
2023/7/6, 14:27:50, 23.656, 24.859, 24.781
2023/7/6, 14:28:0, 23.688, 24.898, 24.813
2023/7/6, 14:28:10, 23.719, 24.938, 24.852
2023/7/6, 14:28:20, 23.734, 24.977, 24.891
2023/7/6, 14:28:30, 23.758, 25.008, 24.930
2023/7/6, 14:28:40, 23.789, 25.039, 24.961
2023/7/6, 14:28:50, 23.820, 25.078, 25.000
2023/7/6, 14:29:0, 23.852, 25.117, 25.039
2023/7/6, 14:29:10, 23.875, 25.148, 25.070
2023/7/6, 14:29:20, 23.906, 25.188, 25.109
2023/7/6, 14:29:30, 23.930, 25.227, 25.141
2023/7/6, 14:29:40, 23.953, 25.258, 25.180
2023/7/6, 14:29:50, 23.969, 25.289, 25.219
2023/7/6, 14:30:0, 23.984, 25.328, 25.250
2023/7/6, 14:30:10, 24.016, 25.367, 25.289
2023/7/6, 14:30:20, 24.047, 25.406, 25.328
2023/7/6, 14:30:30, 24.063, 25.438, 25.367
2023/7/6, 14:30:40, 24.094, 25.484, 25.391
2023/7/6, 14:30:50, 24.125, 25.516, 25.422
2023/7/6, 14:31:0, 24.148, 25.555, 25.469
2023/7/6, 14:31:10, 24.188, 25.578, 25.508
2023/7/6, 14:31:20, 24.227, 25.617, 25.547
2023/7/6, 14:31:30, 24.250, 25.656, 25.578
2023/7/6, 14:31:40, 24.289, 25.695, 25.609
2023/7/6, 14:31:50, 24.313, 25.727, 25.648
2023/7/6, 14:32:0, 24.344, 25.766, 25.688
2023/7/6, 14:32:10, 24.367, 25.797, 25.719
2023/7/6, 14:32:20, 24.383, 25.836, 25.758
2023/7/6, 14:32:30, 24.414, 25.867, 25.789
2023/7/6, 14:32:40, 24.445, 25.906, 25.828
2023/7/6, 14:32:50, 24.484, 25.945, 25.867
2023/7/6, 14:33:0, 24.508, 25.977, 25.898
2023/7/6, 14:33:10, 24.539, 26.016, 25.930
2023/7/6, 14:33:20, 24.578, 26.047, 25.969
2023/7/6, 14:33:30, 24.602, 26.086, 26.008
2023/7/6, 14:33:40, 24.633, 26.117, 26.039
2023/7/6, 14:33:50, 24.664, 26.156, 26.078
2023/7/6, 14:34:0, 24.703, 26.195, 26.109
2023/7/6, 14:34:10, 24.734, 26.234, 26.156
2023/7/6, 14:34:20, 24.766, 26.273, 26.188
2023/7/6, 14:34:30, 24.805, 26.297, 26.227
2023/7/6, 14:34:40, 24.828, 26.344, 26.266
2023/7/6, 14:34:50, 24.852, 26.375, 26.297
2023/7/6, 14:35:0, 24.875, 26.406, 26.328
2023/7/6, 14:35:10, 24.898, 26.445, 26.375
2023/7/6, 14:35:20, 24.914, 26.484, 26.398
2023/7/6, 14:35:30, 24.938, 26.516, 26.445
2023/7/6, 14:35:40, 24.961, 26.555, 26.477
2023/7/6, 14:35:50, 25.008, 26.586, 26.508
2023/7/6, 14:36:0, 25.039, 26.617, 26.555
2023/7/6, 14:36:10, 25.070, 26.656, 26.578
2023/7/6, 14:36:20, 25.094, 26.688, 26.617
2023/7/6, 14:36:30, 25.125, 26.734, 26.656
2023/7/6, 14:36:40, 25.156, 26.766, 26.695
2023/7/6, 14:36:50, 25.203, 26.813, 26.727
2023/7/6, 14:37:0, 25.227, 26.844, 26.758
2023/7/6, 14:37:10, 25.258, 26.875, 26.797
2023/7/6, 14:37:20, 25.289, 26.914, 26.828
2023/7/6, 14:37:30, 25.313, 26.945, 26.867
2023/7/6, 14:37:40, 25.352, 26.992, 26.898
2023/7/6, 14:37:50, 25.383, 27.016, 26.938
2023/7/6, 14:38:0, 25.414, 27.047, 26.969
2023/7/6, 14:38:10, 25.438, 27.094, 27.008
2023/7/6, 14:38:20, 25.477, 27.125, 27.039
2023/7/6, 14:38:30, 25.492, 27.156, 27.078
2023/7/6, 14:38:40, 25.516, 27.188, 27.117
2023/7/6, 14:38:50, 25.539, 27.227, 27.148
2023/7/6, 14:39:0, 25.563, 27.266, 27.188
2023/7/6, 14:39:10, 25.578, 27.297, 27.219
2023/7/6, 14:39:20, 25.602, 27.328, 27.258
2023/7/6, 14:39:30, 25.633, 27.367, 27.297
2023/7/6, 14:39:40, 25.656, 27.398, 27.320
2023/7/6, 14:39:50, 25.672, 27.438, 27.367
2023/7/6, 14:40:0, 25.695, 27.477, 27.398
2023/7/6, 14:40:10, 25.719, 27.508, 27.438
2023/7/6, 14:40:20, 25.742, 27.547, 27.477
2023/7/6, 14:40:30, 25.758, 27.578, 27.508
2023/7/6, 14:40:40, 25.781, 27.617, 27.539
2023/7/6, 14:40:50, 25.805, 27.656, 27.578
2023/7/6, 14:41:0, 25.836, 27.688, 27.617
2023/7/6, 14:41:10, 25.875, 27.727, 27.648
2023/7/6, 14:41:20, 25.922, 27.758, 27.680
2023/7/6, 14:41:30, 25.938, 27.797, 27.719
2023/7/6, 14:41:40, 25.977, 27.828, 27.750
2023/7/6, 14:41:50, 26.016, 27.867, 27.781
2023/7/6, 14:42:0, 26.047, 27.898, 27.820
2023/7/6, 14:42:10, 26.070, 27.930, 27.852
2023/7/6, 14:42:20, 26.109, 27.969, 27.891
2023/7/6, 14:42:30, 26.141, 28.000, 27.930
2023/7/6, 14:42:40, 26.164, 28.039, 27.961
2023/7/6, 14:42:50, 26.188, 28.070, 27.992
2023/7/6, 14:43:0, 26.203, 28.109, 28.031
2023/7/6, 14:43:10, 26.211, 28.141, 28.070
2023/7/6, 14:43:20, 26.227, 28.180, 28.102
2023/7/6, 14:43:30, 26.234, 28.211, 28.133
2023/7/6, 14:43:40, 26.258, 28.258, 28.172
2023/7/6, 14:43:50, 26.281, 28.281, 28.211
2023/7/6, 14:44:0, 26.313, 28.320, 28.242
2023/7/6, 14:44:10, 26.359, 28.359, 28.281
2023/7/6, 14:44:20, 26.398, 28.391, 28.313
2023/7/6, 14:44:30, 26.430, 28.422, 28.344
2023/7/6, 14:44:40, 26.453, 28.453, 28.383
2023/7/6, 14:44:50, 26.484, 28.484, 28.414
2023/7/6, 14:45:0, 26.508, 28.523, 28.445
2023/7/6, 14:45:10, 26.531, 28.555, 28.477
2023/7/6, 14:45:20, 26.563, 28.586, 28.516
2023/7/6, 14:45:30, 26.594, 28.625, 28.547
2023/7/6, 14:45:40, 26.602, 28.664, 28.586
2023/7/6, 14:45:50, 26.609, 28.695, 28.609
2023/7/6, 14:46:0, 27.508, 28.727, 28.656
2023/7/6, 14:46:10, 27.898, 28.766, 28.680
2023/7/6, 14:46:20, 28.000, 28.797, 28.773
2023/7/6, 14:46:30, 28.078, 28.805, 28.820
2023/7/6, 14:46:40, 28.180, 28.813, 28.844
2023/7/6, 14:46:50, 28.273, 28.813, 28.883
2023/7/6, 14:47:0, 28.359, 28.813, 28.906
2023/7/6, 14:47:10, 28.445, 28.820, 28.938
2023/7/6, 14:47:20, 28.516, 28.844, 28.969
2023/7/6, 14:47:30, 28.594, 28.875, 29.000
2023/7/6, 14:47:40, 28.664, 28.898, 29.031
2023/7/6, 14:47:50, 28.727, 28.945, 29.063
2023/7/6, 14:48:0, 28.781, 28.984, 29.094
2023/7/6, 14:48:10, 28.844, 29.023, 29.133
2023/7/6, 14:48:20, 28.898, 29.055, 29.172
2023/7/6, 14:48:30, 28.953, 29.094, 29.195
2023/7/6, 14:48:40, 29.016, 29.125, 29.242
2023/7/6, 14:48:50, 29.055, 29.164, 29.281
2023/7/6, 14:49:0, 29.109, 29.203, 29.305
2023/7/6, 14:49:10, 29.156, 29.242, 29.344
2023/7/6, 14:49:20, 29.203, 29.273, 29.383
2023/7/6, 14:49:30, 29.250, 29.313, 29.422
2023/7/6, 14:49:40, 29.297, 29.344, 29.453
2023/7/6, 14:49:50, 29.336, 29.383, 29.492
2023/7/6, 14:50:0, 29.375, 29.414, 29.523
2023/7/6, 14:50:10, 29.422, 29.453, 29.563
2023/7/6, 14:50:20, 29.461, 29.492, 29.594
2023/7/6, 14:50:30, 29.508, 29.523, 29.633
2023/7/6, 14:50:40, 29.539, 29.563, 29.672
2023/7/6, 14:50:50, 29.578, 29.594, 29.695
2023/7/6, 14:51:0, 29.617, 29.625, 29.734
2023/7/6, 14:51:10, 29.656, 29.664, 29.773
2023/7/6, 14:51:20, 29.695, 29.695, 29.805
2023/7/6, 14:51:30, 29.734, 29.734, 29.836
2023/7/6, 14:51:40, 29.766, 29.766, 29.875
2023/7/6, 14:51:50, 29.805, 29.805, 29.898
2023/7/6, 14:52:0, 29.836, 29.844, 29.938
2023/7/6, 14:52:10, 29.875, 29.867, 29.969
2023/7/6, 14:52:20, 29.906, 29.906, 30.008
2023/7/6, 14:52:30, 29.953, 29.938, 30.039
