Date UTC, Time UTC, Temp1 *C, Temp2 *C, Temp3 *C
2023/8/1, 20:7:47, 20.836, 20.797, 20.773
2023/8/1, 20:7:50, 20.852, 20.820, 20.797
2023/8/1, 20:8:0, 20.867, 20.828, 20.805
2023/8/1, 20:8:10, 20.891, 20.836, 20.813
2023/8/1, 20:8:20, 20.906, 20.852, 20.820
2023/8/1, 20:8:30, 20.922, 20.867, 20.828
2023/8/1, 20:8:40, 20.938, 20.883, 20.836
2023/8/1, 20:8:50, 20.961, 20.898, 20.852
2023/8/1, 20:9:0, 20.977, 20.922, 20.859
2023/8/1, 20:9:10, 21.000, 20.938, 20.875
2023/8/1, 20:9:20, 21.023, 20.969, 20.891
2023/8/1, 20:9:30, 21.047, 21.000, 20.906
2023/8/1, 20:9:40, 21.063, 21.031, 20.922
2023/8/1, 20:9:50, 21.086, 21.055, 20.938
2023/8/1, 20:10:0, 21.117, 21.078, 20.969
2023/8/1, 20:10:10, 21.148, 21.109, 20.992
2023/8/1, 20:10:20, 21.164, 21.141, 21.023
2023/8/1, 20:10:30, 21.203, 21.172, 21.047
2023/8/1, 20:10:40, 21.227, 21.203, 21.070
2023/8/1, 20:10:50, 21.258, 21.242, 21.094
2023/8/1, 20:11:0, 21.289, 21.273, 21.133
2023/8/1, 20:11:10, 21.328, 21.305, 21.148
2023/8/1, 20:11:20, 21.359, 21.336, 21.188
2023/8/1, 20:11:30, 21.398, 21.383, 21.219
2023/8/1, 20:11:40, 21.438, 21.414, 21.258
2023/8/1, 20:11:50, 21.477, 21.461, 21.297
2023/8/1, 20:12:0, 21.523, 21.500, 21.336
2023/8/1, 20:12:10, 21.547, 21.539, 21.367
2023/8/1, 20:12:20, 21.578, 21.570, 21.406
2023/8/1, 20:12:30, 21.625, 21.617, 21.445
2023/8/1, 20:12:40, 21.664, 21.656, 21.484
2023/8/1, 20:12:50, 21.711, 21.695, 21.531
2023/8/1, 20:13:0, 21.742, 21.727, 21.570
2023/8/1, 20:13:10, 21.781, 21.766, 21.609
2023/8/1, 20:13:20, 21.828, 21.813, 21.648
2023/8/1, 20:13:30, 21.875, 21.844, 21.695
2023/8/1, 20:13:40, 21.914, 21.875, 21.734
2023/8/1, 20:13:50, 21.953, 21.922, 21.766
2023/8/1, 20:14:0, 21.992, 21.984, 21.813
2023/8/1, 20:14:10, 22.039, 22.031, 21.852
2023/8/1, 20:14:20, 22.078, 22.070, 21.898
2023/8/1, 20:14:30, 22.117, 22.109, 21.938
2023/8/1, 20:14:40, 22.164, 22.156, 21.984
2023/8/1, 20:14:50, 22.203, 22.203, 22.031
2023/8/1, 20:15:0, 22.250, 22.242, 22.070
2023/8/1, 20:15:10, 22.289, 22.289, 22.102
2023/8/1, 20:15:20, 22.336, 22.328, 22.141
2023/8/1, 20:15:30, 22.375, 22.375, 22.172
2023/8/1, 20:15:40, 22.414, 22.414, 22.219
2023/8/1, 20:15:50, 22.453, 22.461, 22.258
2023/8/1, 20:16:0, 22.508, 22.500, 22.305
