Date UTC, Time UTC, Temp1 *C, Temp2 *C, Temp3 *C
2023/9/3, 23:51:28, 21.492, 21.414, 21.398
2023/9/3, 23:51:30, 21.508, 21.430, 21.422
2023/9/3, 23:51:40, 21.523, 21.438, 21.422
2023/9/3, 23:51:50, 21.531, 21.445, 21.445
2023/9/3, 23:52:0, 21.539, 21.461, 21.453
2023/9/3, 23:52:10, 21.555, 21.477, 21.461
2023/9/3, 23:52:20, 21.563, 21.484, 21.477
2023/9/3, 23:52:30, 21.578, 21.500, 21.484
2023/9/3, 23:52:40, 21.594, 21.508, 21.500
2023/9/3, 23:52:50, 21.617, 21.516, 21.516
2023/9/3, 23:53:0, 21.633, 21.531, 21.523
2023/9/3, 23:53:10, 21.664, 21.547, 21.539
2023/9/3, 23:53:20, 21.680, 21.555, 21.555
2023/9/3, 23:53:30, 21.711, 21.586, 21.570
2023/9/3, 23:53:40, 21.727, 21.602, 21.586
2023/9/3, 23:53:50, 21.758, 21.625, 21.609
2023/9/3, 23:54:0, 21.781, 21.641, 21.633
2023/9/3, 23:54:10, 21.813, 21.664, 21.648
2023/9/3, 23:54:20, 21.836, 21.680, 21.664
2023/9/3, 23:54:30, 21.867, 21.703, 21.695
2023/9/3, 23:54:40, 21.906, 21.734, 21.711
2023/9/3, 23:54:50, 21.938, 21.758, 21.734
2023/9/3, 23:55:0, 21.969, 21.781, 21.758
2023/9/3, 23:55:10, 22.008, 21.813, 21.789
2023/9/3, 23:55:20, 22.031, 21.844, 21.813
2023/9/3, 23:55:30, 22.070, 21.875, 21.836
2023/9/3, 23:55:40, 22.109, 21.906, 21.875
2023/9/3, 23:55:50, 22.141, 21.930, 21.906
2023/9/3, 23:56:0, 22.180, 21.969, 21.930
2023/9/3, 23:56:10, 22.211, 22.008, 21.961
2023/9/3, 23:56:20, 22.250, 22.039, 22.000
2023/9/3, 23:56:30, 22.289, 22.070, 22.039
2023/9/3, 23:56:40, 22.336, 22.109, 22.063
2023/9/3, 23:56:50, 22.375, 22.148, 22.109
2023/9/3, 23:57:0, 22.414, 22.180, 22.141
2023/9/3, 23:57:10, 22.445, 22.227, 22.188
2023/9/3, 23:57:20, 22.492, 22.266, 22.219
2023/9/3, 23:57:30, 22.531, 22.297, 22.258
2023/9/3, 23:57:40, 22.578, 22.344, 22.297
2023/9/3, 23:57:50, 22.609, 22.383, 22.336
2023/9/3, 23:58:0, 22.648, 22.422, 22.367
2023/9/3, 23:58:10, 22.688, 22.461, 22.414
2023/9/3, 23:58:20, 22.727, 22.492, 22.453
2023/9/3, 23:58:30, 22.766, 22.539, 22.492
2023/9/3, 23:58:40, 22.813, 22.578, 22.531
2023/9/3, 23:58:50, 22.852, 22.617, 22.563
2023/9/3, 23:59:0, 22.891, 22.656, 22.609
2023/9/3, 23:59:10, 22.945, 22.703, 22.648
2023/9/3, 23:59:20, 22.984, 22.742, 22.688
2023/9/3, 23:59:30, 23.008, 22.789, 22.727
2023/9/3, 23:59:40, 23.055, 22.828, 22.773
2023/9/3, 23:59:50, 23.102, 22.875, 22.813
2023/9/4, 0:0:0, 23.141, 22.914, 22.852
2023/9/4, 0:0:10, 23.172, 22.945, 22.891
2023/9/4, 0:0:20, 23.211, 22.992, 22.938
2023/9/4, 0:0:30, 23.250, 23.031, 22.969
2023/9/4, 0:0:40, 23.289, 23.078, 23.016
2023/9/4, 0:0:50, 23.336, 23.117, 23.055
2023/9/4, 0:1:0, 23.375, 23.148, 23.094
2023/9/4, 0:1:10, 23.414, 23.195, 23.141
2023/9/4, 0:1:20, 23.461, 23.242, 23.180
2023/9/4, 0:1:30, 23.508, 23.281, 23.219
2023/9/4, 0:1:40, 23.555, 23.320, 23.250
2023/9/4, 0:1:50, 23.594, 23.367, 23.297
2023/9/4, 0:2:0, 23.625, 23.398, 23.336
2023/9/4, 0:2:10, 23.656, 23.453, 23.375
2023/9/4, 0:2:20, 23.711, 23.492, 23.414
2023/9/4, 0:2:30, 23.742, 23.531, 23.469
2023/9/4, 0:2:40, 23.781, 23.570, 23.508
2023/9/4, 0:2:50, 23.828, 23.609, 23.547
2023/9/4, 0:3:0, 23.867, 23.648, 23.586
2023/9/4, 0:3:10, 23.914, 23.688, 23.625
2023/9/4, 0:3:20, 23.945, 23.734, 23.656
2023/9/4, 0:3:30, 23.992, 23.773, 23.703
2023/9/4, 0:3:40, 24.031, 23.820, 23.750
2023/9/4, 0:3:50, 24.070, 23.859, 23.789
2023/9/4, 0:4:0, 24.117, 23.898, 23.828
2023/9/4, 0:4:10, 24.164, 23.938, 23.867
2023/9/4, 0:4:20, 24.203, 23.984, 23.906
2023/9/4, 0:4:30, 24.234, 24.023, 23.945
2023/9/4, 0:4:40, 24.273, 24.055, 23.992
2023/9/4, 0:4:50, 24.320, 24.109, 24.039
2023/9/4, 0:5:0, 24.352, 24.148, 24.070
2023/9/4, 0:5:10, 24.398, 24.195, 24.125
2023/9/4, 0:5:20, 24.438, 24.227, 24.164
2023/9/4, 0:5:30, 24.484, 24.273, 24.203
2023/9/4, 0:5:40, 24.523, 24.313, 24.258
2023/9/4, 0:5:50, 24.563, 24.352, 24.305
2023/9/4, 0:6:0, 24.594, 24.391, 24.352
2023/9/4, 0:6:10, 24.641, 24.438, 24.391
2023/9/4, 0:6:20, 24.680, 24.484, 24.438
2023/9/4, 0:6:30, 24.719, 24.523, 24.477
2023/9/4, 0:6:40, 24.766, 24.563, 24.523
2023/9/4, 0:6:50, 24.805, 24.594, 24.563
