Date UTC, Time UTC, Temp1 *C, Temp2 *C, Temp3 *C
2023/10/10, 20:52:47, 22.055, 21.953, 21.992
2023/10/10, 20:52:50, 22.070, 21.969, 22.016
2023/10/10, 20:53:0, 22.086, 21.977, 22.016
2023/10/10, 20:53:10, 22.102, 21.992, 22.031
2023/10/10, 20:53:20, 22.109, 22.000, 22.039
2023/10/10, 20:53:30, 22.117, 22.008, 22.055
2023/10/10, 20:53:40, 22.133, 22.016, 22.063
2023/10/10, 20:53:50, 22.141, 22.031, 22.086
2023/10/10, 20:54:0, 22.164, 22.047, 22.094
2023/10/10, 20:54:10, 22.180, 22.055, 22.109
2023/10/10, 20:54:20, 22.203, 22.063, 22.125
2023/10/10, 20:54:30, 22.219, 22.078, 22.141
2023/10/10, 20:54:40, 22.242, 22.094, 22.156
2023/10/10, 20:54:50, 22.266, 22.109, 22.172
2023/10/10, 20:55:0, 22.297, 22.133, 22.195
2023/10/10, 20:55:10, 22.328, 22.148, 22.219
2023/10/10, 20:55:20, 22.344, 22.164, 22.234
2023/10/10, 20:55:30, 22.383, 22.180, 22.258
2023/10/10, 20:55:40, 22.422, 22.211, 22.273
2023/10/10, 20:55:50, 22.461, 22.227, 22.305
2023/10/10, 20:56:0, 22.500, 22.258, 22.336
2023/10/10, 20:56:10, 22.547, 22.273, 22.359
2023/10/10, 20:56:20, 22.578, 22.305, 22.391
2023/10/10, 20:56:30, 22.625, 22.328, 22.414
2023/10/10, 20:56:40, 22.664, 22.359, 22.445
2023/10/10, 20:56:50, 22.703, 22.391, 22.484
2023/10/10, 20:57:0, 22.727, 22.422, 22.523
2023/10/10, 20:57:10, 22.781, 22.453, 22.555
2023/10/10, 20:57:20, 22.813, 22.492, 22.586
2023/10/10, 20:57:30, 22.852, 22.516, 22.625
2023/10/10, 20:57:40, 22.891, 22.563, 22.664
2023/10/10, 20:57:50, 22.922, 22.602, 22.703
2023/10/10, 20:58:0, 22.953, 22.633, 22.742
2023/10/10, 20:58:10, 22.992, 22.672, 22.781
2023/10/10, 20:58:20, 23.031, 22.711, 22.820
2023/10/10, 20:58:30, 23.063, 22.742, 22.867
2023/10/10, 20:58:40, 23.109, 22.797, 22.906
2023/10/10, 20:58:50, 23.148, 22.836, 22.953
2023/10/10, 20:59:0, 23.180, 22.875, 22.984
2023/10/10, 20:59:10, 23.227, 22.906, 23.031
2023/10/10, 20:59:20, 23.281, 22.961, 23.078
2023/10/10, 20:59:30, 23.320, 22.992, 23.117
2023/10/10, 20:59:40, 23.359, 23.031, 23.156
2023/10/10, 20:59:50, 23.391, 23.078, 23.203
2023/10/10, 21:0:0, 23.422, 23.117, 23.250
2023/10/10, 21:0:10, 23.461, 23.156, 23.289
2023/10/10, 21:0:20, 23.500, 23.195, 23.336
2023/10/10, 21:0:30, 23.547, 23.242, 23.375
2023/10/10, 21:0:40, 23.578, 23.281, 23.422
2023/10/10, 21:0:50, 23.617, 23.328, 23.469
2023/10/10, 21:1:0, 23.664, 23.367, 23.516
2023/10/10, 21:1:10, 23.703, 23.414, 23.555
2023/10/10, 21:1:20, 23.750, 23.461, 23.602
2023/10/10, 21:1:30, 23.797, 23.492, 23.641
2023/10/10, 21:1:40, 23.836, 23.539, 23.688
2023/10/10, 21:1:50, 23.875, 23.586, 23.727
2023/10/10, 21:2:0, 23.914, 23.617, 23.781
2023/10/10, 21:2:10, 23.961, 23.664, 23.820
2023/10/10, 21:2:20, 24.000, 23.711, 23.859
2023/10/10, 21:2:30, 24.031, 23.750, 23.898
2023/10/10, 21:2:40, 24.078, 23.789, 23.945
2023/10/10, 21:2:50, 24.125, 23.844, 23.992
2023/10/10, 21:3:0, 24.164, 23.883, 24.039
2023/10/10, 21:3:10, 24.227, 23.922, 24.078
2023/10/10, 21:3:20, 24.266, 23.961, 24.133
2023/10/10, 21:3:30, 24.305, 24.008, 24.172
2023/10/10, 21:3:40, 24.352, 24.055, 24.219
2023/10/10, 21:3:50, 24.406, 24.094, 24.266
2023/10/10, 21:4:0, 24.445, 24.141, 24.305
2023/10/10, 21:4:10, 24.477, 24.180, 24.344
2023/10/10, 21:4:20, 24.523, 24.227, 24.391
2023/10/10, 21:4:30, 24.563, 24.266, 24.438
2023/10/10, 21:4:40, 24.594, 24.305, 24.477
2023/10/10, 21:4:50, 24.641, 24.352, 24.523
2023/10/10, 21:5:0, 24.680, 24.398, 24.570
2023/10/10, 21:5:10, 24.727, 24.445, 24.609
2023/10/10, 21:5:20, 24.766, 24.484, 24.648
2023/10/10, 21:5:30, 24.828, 24.531, 24.703
2023/10/10, 21:5:40, 24.867, 24.578, 24.742
2023/10/10, 21:5:50, 24.922, 24.617, 24.789
2023/10/10, 21:6:0, 24.969, 24.656, 24.828
2023/10/10, 21:6:10, 25.008, 24.703, 24.875
2023/10/10, 21:6:20, 25.055, 24.750, 24.914
2023/10/10, 21:6:30, 25.102, 24.789, 24.961
2023/10/10, 21:6:40, 25.133, 24.836, 25.008
2023/10/10, 21:6:50, 25.164, 24.875, 25.047
2023/10/10, 21:7:0, 25.203, 24.922, 25.094
2023/10/10, 21:7:10, 25.258, 24.961, 25.133
2023/10/10, 21:7:20, 25.297, 25.008, 25.180
2023/10/10, 21:7:30, 25.344, 25.055, 25.219
2023/10/10, 21:7:40, 25.383, 25.102, 25.266
2023/10/10, 21:7:50, 25.430, 25.133, 25.305
2023/10/10, 21:8:0, 25.477, 25.180, 25.352
2023/10/10, 21:8:10, 25.531, 25.219, 25.398
2023/10/10, 21:8:20, 25.586, 25.266, 25.438
2023/10/10, 21:8:30, 25.625, 25.305, 25.484
2023/10/10, 21:8:40, 25.672, 25.352, 25.523
2023/10/10, 21:8:50, 25.703, 25.398, 25.570
2023/10/10, 21:9:0, 25.750, 25.445, 25.617
2023/10/10, 21:9:10, 25.789, 25.484, 25.656
2023/10/10, 21:9:20, 25.820, 25.523, 25.695
2023/10/10, 21:9:30, 25.859, 25.570, 25.742
2023/10/10, 21:9:40, 25.914, 25.617, 25.789
2023/10/10, 21:9:50, 25.961, 25.664, 25.828
2023/10/10, 21:10:0, 26.008, 25.695, 25.875
2023/10/10, 21:10:10, 26.063, 25.742, 25.914
2023/10/10, 21:10:20, 26.102, 25.789, 25.953
2023/10/10, 21:10:30, 26.156, 25.828, 26.000
2023/10/10, 21:10:40, 26.203, 25.867, 26.039
2023/10/10, 21:10:50, 26.242, 25.922, 26.078
2023/10/10, 21:11:0, 26.289, 25.969, 26.125
2023/10/10, 21:11:10, 26.320, 26.000, 26.172
2023/10/10, 21:11:20, 26.367, 26.047, 26.211
2023/10/10, 21:11:30, 26.406, 26.094, 26.250
2023/10/10, 21:11:40, 26.445, 26.133, 26.297
2023/10/10, 21:11:50, 26.484, 26.172, 26.344
2023/10/10, 21:12:0, 26.531, 26.219, 26.383
2023/10/10, 21:12:10, 26.570, 26.258, 26.430
2023/10/10, 21:12:20, 26.625, 26.297, 26.469
2023/10/10, 21:12:30, 26.672, 26.344, 26.508
2023/10/10, 21:12:40, 26.719, 26.391, 26.555
2023/10/10, 21:12:50, 26.758, 26.430, 26.602
2023/10/10, 21:13:0, 26.813, 26.469, 26.641
2023/10/10, 21:13:10, 26.852, 26.516, 26.680
2023/10/10, 21:13:20, 26.891, 26.555, 26.727
2023/10/10, 21:13:30, 26.938, 26.602, 26.766
2023/10/10, 21:13:40, 26.977, 26.641, 26.813
2023/10/10, 21:13:50, 27.016, 26.680, 26.859
2023/10/10, 21:14:0, 27.063, 26.734, 26.898
2023/10/10, 21:14:10, 27.102, 26.773, 26.938
2023/10/10, 21:14:20, 27.148, 26.820, 26.977
2023/10/10, 21:14:30, 27.195, 26.859, 27.023
2023/10/10, 21:14:40, 27.242, 26.898, 27.070
2023/10/10, 21:14:50, 27.281, 26.945, 27.109
2023/10/10, 21:15:0, 27.320, 26.992, 27.148
2023/10/10, 21:15:10, 27.367, 27.023, 27.188
2023/10/10, 21:15:20, 27.406, 27.070, 27.234
